iter	Passed	Remaining
0	143	71540
1	144	36079
2	146	24261
3	148	18353
4	149	14802
5	151	12470
6	152	10773
7	154	9502
8	155	8509
9	158	7756
10	160	7140
11	162	6591
12	163	6131
13	165	5734
14	166	5391
15	168	5088
16	170	4837
17	171	4599
18	173	4384
19	174	4190
20	175	4013
21	177	3856
22	180	3740
23	181	3605
24	183	3488
25	185	3373
26	186	3267
27	188	3170
28	190	3090
29	191	3004
30	193	2924
31	194	2848
32	196	2775
33	198	2718
34	200	2661
35	201	2601
36	203	2546
37	205	2493
