iter	Logloss
0	0.6684281609
1	0.6460262212
2	0.6295624646
3	0.612032977
4	0.5969101299
5	0.5810517831
6	0.5640208071
7	0.5497001301
8	0.5360372717
9	0.5190158324
10	0.5056032267
11	0.4881592664
12	0.4715519385
13	0.4578045932
14	0.4475529411
15	0.4365363555
16	0.4209425666
17	0.4105738727
18	0.3982412165
19	0.3898436373
20	0.3790802089
21	0.3701174476
22	0.3586788177
23	0.3529538675
24	0.343943119
25	0.3361520334
26	0.3289857344
27	0.3194471489
28	0.3102271557
29	0.3015213013
30	0.2948836413
31	0.2888136777
32	0.283078107
33	0.2771139145
34	0.2714933265
35	0.264883735
36	0.2563337413
37	0.2514199344
