iter	Logloss
0	0.6753614599
1	0.6498435627
2	0.6342056881
3	0.6179466248
4	0.6035623984
5	0.5885623585
6	0.5731117942
7	0.5565563549
8	0.5379812067
9	0.5204832337
10	0.5061412725
11	0.4894383604
12	0.475062457
13	0.4599027634
14	0.4515349215
15	0.4386465766
16	0.4232677546
17	0.4120290063
18	0.4007576162
19	0.389315952
20	0.3773388429
21	0.3686177514
22	0.3602087064
23	0.3505409848
24	0.3415376923
25	0.3336068067
26	0.3240669424
27	0.316353191
28	0.3103486408
29	0.303128611
30	0.2958703475
31	0.2890157916
32	0.2811142098
33	0.2743787332
34	0.2661792148
35	0.2587120316
36	0.2514915683
37	0.2468929724
38	0.2414083914
39	0.2357844006
40	0.2325882045
41	0.2286320166
42	0.2225499153
43	0.218936595
44	0.2141298381
45	0.2085121545
46	0.2049378048
47	0.2003185966
48	0.1961698532
49	0.191710082
50	0.1885861917
51	0.1852507808
52	0.1814547019
53	0.1783541116
54	0.1755385724
55	0.1728627573
56	0.1696023291
57	0.1665457812
58	0.1629598899
59	0.1608670191
60	0.1584438627
61	0.15608444
62	0.1529014652
63	0.1512149572
64	0.1487993869
65	0.1463892677
66	0.1437895948
