iter	Passed	Remaining
0	1	913
1	3	828
2	5	859
3	6	833
4	8	813
5	9	803
6	11	796
7	12	798
8	14	795
9	16	785
10	17	774
11	18	763
12	20	766
13	22	784
14	24	782
15	25	779
16	27	775
17	28	771
18	30	767
19	31	765
20	33	762
21	34	759
22	36	756
23	37	753
24	39	752
25	41	749
26	42	749
27	44	746
28	45	743
29	47	739
30	48	736
31	50	734
32	51	731
33	53	733
34	55	737
35	56	734
36	58	736
37	60	733
38	61	730
39	63	728
