iter	Logloss
0	0.6721270301
1	0.6453549212
2	0.6271201047
3	0.6090166786
4	0.5908912312
5	0.5684122606
6	0.551392772
7	0.5329617154
8	0.5191398967
9	0.5037657998
10	0.4874424501
11	0.4726056186
12	0.4564655477
13	0.4430092898
14	0.4295522516
15	0.4158107151
16	0.4018493999
17	0.3886374127
18	0.3771427761
19	0.3700704141
20	0.3624959209
21	0.3513021686
22	0.3410397876
23	0.3331006224
24	0.3256525777
25	0.3171296553
26	0.3093855164
27	0.3004228419
28	0.294816624
29	0.2875676155
30	0.2811316577
31	0.2747509913
32	0.2682759328
33	0.2624170997
34	0.2571128065
35	0.2488333095
36	0.2418842749
37	0.2361048568
38	0.2313284874
39	0.2262106375
