iter	Passed	Remaining
0	1	65
1	3	56
2	4	52
3	5	50
4	7	48
5	8	47
6	10	45
7	11	44
8	13	43
9	14	41
10	16	39
11	17	37
12	18	36
13	20	34
14	21	33
15	23	31
16	24	30
17	25	28
18	26	26
19	28	25
20	29	23
21	31	22
22	32	21
23	33	19
24	35	18
25	36	16
26	38	15
27	39	14
28	40	12
29	42	11
30	43	9
31	45	8
32	46	7
33	47	5
34	49	4
35	50	2
36	51	1
37	53	0
