iter	Logloss
0	0.6665417931
1	0.6415097063
2	0.6193399863
3	0.6045412584
4	0.5898219022
5	0.5717087659
6	0.5540673516
7	0.5325444828
8	0.5165528384
9	0.4970664111
10	0.4847702547
11	0.4684958458
12	0.456370267
13	0.4433017211
14	0.4340106791
15	0.42145547
16	0.4095526609
17	0.3980620991
18	0.3863359798
19	0.3796499426
20	0.3698897795
21	0.3579968322
22	0.3500363827
23	0.3427232396
24	0.3353169398
25	0.3258493814
26	0.3184688742
27	0.309589386
28	0.3015782616
29	0.2932738824
30	0.2833930796
31	0.2761343609
32	0.2695894892
33	0.2625948733
34	0.2557917075
35	0.2481762062
36	0.2439079285
37	0.2398067388
38	0.2354025407
39	0.2303160321
40	0.2258040038
41	0.2220217315
42	0.217455994
43	0.211435448
44	0.2066340013
45	0.2025539658
46	0.198391871
47	0.1955494014
48	0.1913909479
49	0.1876533682
50	0.1836493232
51	0.1802293712
52	0.1765053489
53	0.1735756397
54	0.1702842604
